"SupplierDB","MainDB"
"fruit preservative","Strawberry jam"
"black peppercorns","Pepper, black"
"sucrose","Sugar, white"
"microbial starters","Yeast, bakers, compressed"
"chick peas","Chickpeas, canned"
"yeast culture","Yeast, bakers, compressed"
"lemon zest","Lemon, raw"
"basil leaves","Basil, fresh"
"natural vanilla flavour.","Vanilla beans"
"mace blades","Nutmeg"
"sodium benzoate","Baking powder"
"dried apricots","Apricot, dried"
"microbial rennet lactic acid culture.","Animal fat"
"soya milk","Soy milk, with added calcium"
"surface moould","Yeast, bakers, compressed"
"colouring agent","Apple pectin"
"vitamin b12.","Baking powder"
"duck fat","Animal fat"
"vegetable rennet","Vegetable fat"
"citrus pectin","Apple pectin"
"guar gum","Apple pectin"
"rice starch","Starch (wheat)"
"onion juice","Onion, raw"
"modified tapioca starch","Starch (corn)"
"penicillin","Apple pectin"
"chilli pepper","Pepper, hot chili, raw"
"e102","Apple pectin"
"ewe's milk","Goat milk"
"flour treatment agent","Wheat, flour, wholemeal"
"unpasteurised milk","Milk, whole, 3.5 % fat"
"corn starch","Starch (corn)"
"whey (milk)","Whey powder"
"rusk","Wheat, flour, wholemeal"
"cultures.","Yeast, bakers, compressed"
"black olives","Olives, black, without stones, in brine"
"soybeans","Beans, soy, dried, raw"
"kalamata olives","Olives, black, without stones, in brine"
"cumin seeds","Cumin"
"freeze dried starter cultures","Yeast, bakers, compressed"
"egg yolk","Eggs, chicken, free-range hens (indoor), raw"
"lactose","Milk, whole, 3.5 % fat"
"spiced vinegar","Vinegar (Malt)"
"bicarbonate of soda","Baking powder"
"e300","Apple pectin"
"antioxidant (ascorbic acid)","Apple pectin"
"cider brandy","Brandy, cognac"
"chopped tomatoes","Tomato, peeled, canned"
"dried thyme","Thyme, dried"
"e122","Apple pectin"
"traditional animal rennet","Animal fat"
"carotenes","Apple pectin"
"turmeric.","Tamarind"
"mozzarella cheese","Cheese, semihard, Mozzarella, 30 % fidm."
"soft brown sugar","Sugar, brown"
"beef","Beef, mince, 10-15% fat, raw"
"pasteurized cow's milk","Milk, whole, 3.5 % fat"
"sugar syrup","Syrup, kitchen"
"black pepper.","Pepper, black"
"concentrated butter","Butter, salt added"
"pasteurised whole egg","Eggs, chicken, free-range hens (indoor), raw"
"ethanol","Vodka"
"colour (caramel)","Apple pectin"
"e100- yellow curcumine","Apple pectin"
"pasteurised cow","Milk, whole, 3.5 % fat"
"lipase","Apple pectin"
"cornflour","Corn flour"
"sulphite ammonia caramel","Apple pectin"
"copper chlorophyll","Apple pectin"
"gochujang paste","Ajvar, relish"
"free range egg yolk","Eggs, chicken, free-range hens (indoor), raw"
"tamarind paste","Tamarind"
"sweeteners","Apple pectin"
"pitted kalamata olives","Olives, black, without stones, in brine"
"lactic fferments","Apple pectin"
"peniciliin","Apple pectin"
"red sweet peppers","Pepper, sweet, red, raw"
"pasteurised bovine milk","Milk, whole, 3.5 % fat"
"milk proteins","Milk, whole, 3.5 % fat"
"blackcurrant","Currant, black, raw"
"none","Apple pectin"
"coagulant contains preservative [sodium benzoate]","Baking powder"
"vegan fermentation cultures","Yeast, bakers, compressed"
"curcumin","Cumin"
"natural vanilla flavouring","Vanilla beans"
"wholemeal wheat flour","Wheat, flour, wholemeal"
