,Supplier,Product Code,Product Name,Case Size,Ingredients,MissingName,MatchedName,Main,CO2perKG
2292,"['cheddar cheese (milk) nan%', 'smoke flavouring nan%', 'paprika nan%']",EC366G5,APPLEWOOD GRATED 5KG,,"cheddar cheese (milk), smoke flavouring, paprika","['cheddar cheese (milk)', 'smoke flavouring']",,['paprika'],0.5941
2293,"['pasteurised cows milk nan%', 'lactic acid starter cultures nan%', 'vegetarian rennet nan%', 'salt nan%']",EC379C15X10,CAERPHILLY DUCKETTS WEDGE 10 X 150G,,"pasteurised cows milk, lactic acid starter cultures, vegetarian rennet, salt","['lactic acid starter cultures', 'vegetarian rennet']","['pasteurised cows milk->milk, partly skimmed, 1.5 % fat']","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2294,"['pasteurised cows milk nan%', 'lactic acid starter cultures nan%', 'vegetarian rennet nan%', 'salt nan%']",EC379W35X50,CAERPHILLY DUCKETTS WEDGE 50 X 35G,,"pasteurised cows milk, lactic acid starter cultures, vegetarian rennet, salt","['lactic acid starter cultures', 'vegetarian rennet']","['pasteurised cows milk->milk, partly skimmed, 1.5 % fat']","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2295,"['cheese nan%', 'milk nan%', 'lar nan%']",EC413,CHEDDAR KEENS 1/8 3.3KG,,"cheese (milk, lard)",['lar'],"['cheese->blue cheese', 'milk->goat milk']","['blue cheese', 'goat milk']",2.92
2296,"['cheese nan%', 'milk nan%', 'lar nan%']",EC421,CHEDDAR MONTGOMERY 1/8 3KG,,"cheese (milk, lard)",['lar'],"['cheese->blue cheese', 'milk->goat milk']","['blue cheese', 'goat milk']",2.92
2297,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'animal rennet nan%']",EC422W20XH,CHEDDAR VINTAGE QUICKES 24 MONTH WEDGE 2,,"pasteurised cow's milk, salt, starter culture, animal rennet","['starter culture', 'animal rennet']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2298,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'animal rennet nan%']",EC422W30X50,CHED VINT QUICKES 24 MONTH WDG 50 X 30G,,"pasteurised cow's milk, salt, starter culture, animal rennet","['starter culture', 'animal rennet']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2299,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'animal rennet nan%']",EC422W35X50,CHED VINT QUICKES 24 MONTH WDG 5,,"pasteurised cow's milk, salt, starter culture, animal rennet","['starter culture', 'animal rennet']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2300,['cheese (milk) nan%'],EC425FIX,CHEDDAR MATURE QUICKES 12MONTH 1KG FIX,,cheese (milk),['cheese (milk)'],,,
2301,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'animal rennet nan%']",EC427C25,CHEDDAR QUICKES WEDGE 250G,,"pasteurised cow's milk, salt, starter culture, animal rennet","['starter culture', 'animal rennet']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2302,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'animal rennet nan%']",EC427C25X10,CHEDDAR QUICKES WEDGE POHS/LABEL 10,,"pasteurised cow's milk, salt, starter culture, animal rennet","['starter culture', 'animal rennet']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2303,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'microbial rennet, nan%']",EC449G,CHEDDAR GRATED SMOKED 2KG BAG,,"pasteurised cow's milk, salt, starter culture, microbial rennet,","['starter culture', 'microbial rennet,']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2304,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'microbial rennet, nan%']",EC449G500, CHEDDAR GRATED SMOKED 500G BAG,,"pasteurised cow's milk, salt, starter culture, microbial rennet,","['starter culture', 'microbial rennet,']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2305,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'microbial rennet, nan%']",EC449W20X50,CHEDDAR SMOKED WEDGE 50 X 20G,,"pasteurised cow's milk, salt, starter culture, microbial rennet,","['starter culture', 'microbial rennet,']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2306,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'microbial rennet, nan%']",EC449W20XH,CHEDDAR OAKWOOD SMOKED WEDGE 20G X 100,,"pasteurised cow's milk, salt, starter culture, microbial rennet,","['starter culture', 'microbial rennet,']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2307,"[""pasteurised cow's milk nan%"", 'salt nan%', 'starter culture nan%', 'microbial rennet, nan%']",EC449W25XH,CHEDDAR SMOKED WEDGE 100X25G,,"pasteurised cow's milk, salt, starter culture, microbial rennet,","['starter culture', 'microbial rennet,']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
