Kategorie,Name DE,Name EN,COâ‚‚ / 1.6FU (ohne Flug),kg CO2 / kg (ohne Flug),CO2 Base Value [g],Summe Transport fÃ¼r 1.6 FU,CO2 Land Transport [g],CO2 Sea Transport [g],CO2 Air Transport [g],Food Unit,Energy [kcal],kcal fÃ¼r 1.6FU,Gewicht fÃ¼r 1.6 FU,Name FR
fish & seafood,"Crab, boiled","Crab, boiled",,5.9,,,,,,,,,,
fish & seafood,"Prawn, giant tiger, aquaculture, boiled, frozen","Prawn, giant tiger, aquaculture, boiled, frozen",,12.43,,,,,,,,,,
fish & seafood,"Shrimp, boiled, in brine","Shrimp, boiled, in brine",,10.52,,,,,,,,,,
prepared,"Pop corn, oil and salt added, traditional","Pop corn, oil and salt added, traditional",,1.25,,,,,,,,,,
nuts & seeds,"Peanuts, oilroasted and salted","Peanuts, oilroasted and salted",,2.5,,,,,,,,,,
fruits & berries,"Strawberry, raw","Strawberry, raw",,0.56,,,,,,,,,,
fruits & berries,"Raspberry, raw","Raspberry, raw",,0.84,,,,,,,,,,
fruits & berries,"Currant, black, raw","Currant, black, raw",,0.53,,,,,,,,,,
fruits & berries,"Blueberries, raw","Blueberries, raw",,2.91,,,,,,,,,,
fruits & berries,"Blackberry, raw","Blackberry, raw",,0.91,,,,,,,,,,
fruits & berries,"Rose hip, raw","Rose hip, raw",,0.65,,,,,,,,,,
fruits & berries,"Elderberry, raw","Elderberry, raw",,0.91,,,,,,,,,,
fruits & berries,"Currant, red, raw","Currant, red, raw",,0.53,,,,,,,,,,
fruits & berries,"Gooseberry, raw","Gooseberry, raw",,0.85,,,,,,,,,,
fruits & berries,"Strawberries, frozen, unsweetened","Strawberries, frozen, unsweetened",,0.98,,,,,,,,,,
fruits & berries,"Cranberry, raw","Cranberry, raw",,0.87,,,,,,,,,,
fruits & berries,"Blueberry, frozen, unsweetened","Blueberry, frozen, unsweetened",,1.02,,,,,,,,,,
fruits & berries,"Raspberry, frozen","Raspberry, frozen",,0.86,,,,,,,,,,
diary & eggs,"Cheese, Cream, 60 % fidm.","Cheese, Cream, 60 % fidm.",,7.72,,,,,,,,,,
diary & eggs,"Cheese, Brie, 45 % fidm.","Cheese, Brie, 45 % fidm.",,2.92,,,,,,,,,,
diary & eggs,"Cheese, cottage, 20 % fidm.","Cheese, cottage, 20 % fidm.",,2.92,,,,,,,,,,
starches & bread,"Bulgur, parboiled, raw","Bulgur, parboiled, raw",,1.15,,,,,,,,,,
vegetables & mushrooms,"Sweetcorn, kernels, canned","Sweetcorn, kernels, canned",,0.61,,,,,,,,,,
starches & bread,"Rice, parboiled, raw","Rice, parboiled, raw",,1.28,,,,,,,,,,
starches & bread,"Quinoa, black, raw","Quinoa, black, raw",,2.49,,,,,,,,,,
spices & condiments,"Pepper, black","Pepper, black",,4.3,,,,,,,,,,
spices & condiments,"Mustard, yellow, ready made","Mustard, yellow, ready made",,1.76,,,,,,,,,,
spices & condiments,Curry powder,Curry powder,,4.7,,,,,,,,,,
beverages,"BITTER, Gammel Dansk Bitter Dram","BITTER, Gammel Dansk Bitter Dram",,2.04,,,,,,,,,,
beverages,"Brandy, cognac","Brandy, cognac",,8.22,,,,,,,,,,
beverages,Vodka,Vodka,,2.04,,,,,,,,,,
beverages,"Aquavit, 40 % vol., average values","Aquavit, 40 % vol., average values",,2.04,,,,,,,,,,
fruits & berries,"Plum, raw","Plum, raw",,0.58,,,,,,,,,,
fruits & berries,"Cherry, raw","Cherry, raw",,0.75,,,,,,,,,,
fruits & berries,"Chestnut, raw","Chestnut, raw",,1.71,,,,,,,,,,
fruits & berries,"Prune, dried plum","Prune, dried plum",,1.87,,,,,,,,,,
fruits & berries,"Apricot, dried","Apricot, dried",,1.87,,,,,,,,,,
fruits & berries,"Apricot, raw","Apricot, raw",,1.05,,,,,,,,,,
fruits & berries,"Peach, raw","Peach, raw",,0.96,,,,,,,,,,
fruits & berries,"Nectarine, raw","Nectarine, raw",,0.96,,,,,,,,,,
vegetables & mushrooms,"Avocado, raw","Avocado, raw",,1.07,,,,,,,,,,
spices & condiments,"Sugar, white","Sugar, white",,2,,,,,,,,,,
spices & condiments,"Sugar, brown","Sugar, brown",,1.92,,,,,,,,,,
Confectionary,"Chocolate, milk","Chocolate, milk",,5.18,,,,,,,,,,
Confectionary,Nougat,Nougat,,4.97,,,,,,,,,,
Confectionary,"Chewing gum, no sugar added, all types","Chewing gum, no sugar added, all types",,5.96,,,,,,,,,,
Confectionary,"Toffees, mixed","Toffees, mixed",,2.74,,,,,,,,,,
Confectionary,"Chocolate, dark","Chocolate, dark",,3.74,,,,,,,,,,
Confectionary,"Liquorice, salt","Liquorice, salt",,2.09,,,,,,,,,,
Confectionary,Fruit gums,Fruit gums,,2.02,,,,,,,,,,
fruits & berries,"Banana, raw","Banana, raw",,0.98,,,,,,,,,,
fruits & berries,"Lemon, raw","Lemon, raw",,0.94,,,,,,,,,,
fruits & berries,"Watermelon, raw","Watermelon, raw",,0.78,,,,,,,,,,
fruits & berries,"Orange, raw","Orange, raw",,0.81,,,,,,,,,,
fruits & berries,"Melon, honeydew, raw","Melon, honeydew, raw",,0.71,,,,,,,,,,
fruits & berries,"Lime, raw","Lime, raw",,0.87,,,,,,,,,,
fruits & berries,"Pineapple, raw","Pineapple, raw",,0.65,,,,,,,,,,
fruits & berries,"Mango, raw","Mango, raw",,0.93,,,,,,,,,,
fruits & berries,"Grapefruit, raw","Grapefruit, raw",,0.86,,,,,,,,,,
fruits & berries,"Tangerine, raw","Tangerine, raw",,0.97,,,,,,,,,,
fruits & berries,"Kiwi fruit, raw","Kiwi fruit, raw",,0.93,,,,,,,,,,
meat,"Turkey, breast, boiled/smoked, sliced","Turkey, breast, boiled/smoked, sliced",,3.02,,,,,,,,,,
meat,"Turkey, flesh only, raw","Turkey, flesh only, raw",,3.18,,,,,,,,,,
meat,"Turkey, mince, 5-10% fat, raw","Turkey, mince, 5-10% fat, raw",,3.34,,,,,,,,,,
diary & eggs,"Milk, whole, 3.5 % fat","Milk, whole, 3.5 % fat",,0.79,,,,,,,,,,
diary & eggs,"Milk, partly skimmed, 1.5 % fat","Milk, partly skimmed, 1.5 % fat",,0.61,,,,,,,,,,
diary & eggs,"Milk, skimmed, 0.5 % fat","Milk, skimmed, 0.5 % fat",,0.48,,,,,,,,,,
diary & eggs,"Milk, skimmed, with chocolate (UHT)","Milk, skimmed, with chocolate (UHT)",,0.65,,,,,,,,,,
diary & eggs,"Cream, whipping, 38 % fat","Cream, whipping, 38 % fat",,2.14,,,,,,,,,,
meat,"Veal, medium fat, raw","Veal, medium fat, raw",,50.36,,,,,,,,,,
nuts & seeds,Peanut butter,Peanut butter,,2.85,,,,,,,,,,
nuts & seeds,Sunflower oil,Sunflower oil,,3.76,,,,,,,,,,
nuts & seeds,Olive oil,Olive oil,,3.83,,,,,,,,,,
nuts & seeds,"Oil, rape seed (no eruca acid)","Oil, rape seed (no eruca acid)",,3.84,,,,,,,,,,
vegetables & mushrooms,"Onions, chopped and deepfried","Onions, chopped and deepfried",,4.3,,,,,,,,,,
prepared,"Potato crisps, coarse","Potato crisps, coarse",,4.17,,,,,,,,,,
legumes,"Tofu, soy bean curd","Tofu, soy bean curd",,1.71,,,,,,,,,,
legumes,"Lentils, sprouted, raw","Lentils, sprouted, raw",,1.7,,,,,,,,,,
vegetables & mushrooms,"Cabbage, red, canned, no sugar added","Cabbage, red, canned, no sugar added",,0.73,,,,,,,,,,
beverages,"Tomato juice, canned","Tomato juice, canned",,1.26,,,,,,,,,,
vegetables & mushrooms,"Gherkin, pickled","Gherkin, pickled",,1.58,,,,,,,,,,
prepared,"Potatoes, mashed, instant powder with dry milk","Potatoes, mashed, instant powder with dry milk",,5,,,,,,,,,,
vegetables & mushrooms,"Pepper, hot chili, canned","Pepper, hot chili, canned",,1.54,,,,,,,,,,
vegetables & mushrooms,"Cucumber, large, pickled","Cucumber, large, pickled",,1.58,,,,,,,,,,
vegetables & mushrooms,"Tomato, peeled, canned","Tomato, peeled, canned",,1.26,,,,,,,,,,
vegetables & mushrooms,"Beet, red, canned","Beet, red, canned",,0.83,,,,,,,,,,
vegetables & mushrooms,"Potato, canned","Potato, canned",,0.89,,,,,,,,,,
prepared,Potato crisps,Potato crisps,,4.17,,,,,,,,,,
vegetables & mushrooms,"Bamboo shoots, canned, nonsalted","Bamboo shoots, canned, nonsalted",,1.21,,,,,,,,,,
vegetables & mushrooms,"Mushroom, canned","Mushroom, canned",,0.7,,,,,,,,,,
vegetables & mushrooms,"French fries, deepfried, fast food","French fries, deepfried, fast food",,2.84,,,,,,,,,,
spices & condiments,"Tomato paste, concentrated","Tomato paste, concentrated",,2.48,,,,,,,,,,
spices & condiments,"Tomato ketchup, bottled","Tomato ketchup, bottled",,2.01,,,,,,,,,,
legumes,"Beans, baked i tomato sauce, canned","Beans, baked i tomato sauce, canned",,1.53,,,,,,,,,,
starches & bread,Potato flour,Potato flour,,1.31,,,,,,,,,,
legumes,"Peas, green, canned","Peas, green, canned",,1.36,,,,,,,,,,
spices & condiments,Soy sauce,Soy sauce,,1.49,,,,,,,,,,
spices & condiments,"Sauce, barbeque","Sauce, barbeque",,2.18,,,,,,,,,,
beverages,"Wine, white, average values","Wine, white, average values",,1.87,,,,,,,,,,
beverages,"Wine, rosŽ","Wine, rose",,1.87,,,,,,,,,,
beverages,"Wine, red","Wine, red",,1.87,,,,,,,,,,
beverages,"Wine, white, sparkling, champagne","Wine, white, sparkling, champagne",,1.87,,,,,,,,,,
spices & condiments,"Yeast, bakers, compressed","Yeast, bakers, compressed",,1.45,,,,,,,,,,
meat,Cocktail sausages,Cocktail sausages,,1.81,,,,,,,,,,
spices & condiments,Pesto,Pesto,,3.83,,,,,,,,,,
prepared,"Lasagne, beef, ready meals","Lasagne, beef, ready meals",,8.85,,,,,,,,,,
prepared,"Lasagne, vegetarian, ready meals","Lasagne, vegetarian, ready meals",,1.74,,,,,,,,,,
prepared,"Daal, ready meals","Daal, ready meals",,1.85,,,,,,,,,,
prepared,"Sushi, ready meals","Sushi, ready meals",,2.51,,,,,,,,,,
meat,Minced chicken,Minced chicken,,3.76,,,,,,,,,,
starches & bread,Pizza dough,Pizza dough,,0.72,,,,,,,,,,
prepared,"Fresh pasta, fettucine spinach","Fresh pasta, fettucine spinach",,1.08,,,,,,,,,,
prepared,Tuna salad,Tuna salad,,4.5,,,,,,,,,,
prepared,Egg salad,Egg salad,,1.51,,,,,,,,,,
prepared,Hummus,Hummus,,1.5,,,,,,,,,,
prepared,"Lasagne, vegan, ready meals","Lasagne, vegan, ready meals",,1.59,,,,,,,,,,
prepared,"Pancakes, ready meals","Pancakes, ready meals",,2.21,,,,,,,,,,
prepared,Potato gratin / cream potatoes,Potato gratin / cream potatoes,,1.1,,,,,,,,,,
beverages,"Icetea, peach","Icetea, peach",,0.82,,,,,,,,,,
beverages,Energy drink,Energy drink,,0.53,,,,,,,,,,
beverages,"Alcoholic soda, 4%","Alcoholic soda, 4%",,0.72,,,,,,,,,,
spices & condiments,"Salsa, hot","Salsa, hot",,1.59,,,,,,,,,,
starches & bread,"Tortilla bread, wheat","Tortilla bread, wheat",,0.74,,,,,,,,,,
prepared,Pizzasauce,Pizzasauce,,2.33,,,,,,,,,,
prepared,Pastasauce,Pastasauce,,2.33,,,,,,,,,,
diary & eggs,Coconut milk,Coconut milk,,3.5,,,,,,,,,,
starches & bread,"Garlic baguette, frozen","Garlic baguette, frozen",,1.18,,,,,,,,,,
Confectionary,"Muesli bar, chocolate","Muesli bar, chocolate",,2.65,,,,,,,,,,
prepared,Cup noodles chicken,Cup noodles chicken,,1.87,,,,,,,,,,
vegetables & mushrooms,Sliced mushrooms,Sliced mushrooms,,0.41,,,,,,,,,,
prepared,Microwave popcorn,Microwave popcorn,,1.62,,,,,,,,,,
prepared,Thai meal panang curry chicken,Thai meal panang curry chicken,,2.33,,,,,,,,,,
vegetables & mushrooms,"French fries, frost","French fries, frost",,0.65,,,,,,,,,,
prepared,Pancake puffs,Pancake puffs,,1.32,,,,,,,,,,
legumes,"Chickpeas, canned","Chickpeas, canned",,0.88,,,,,,,,,,
legumes,"Green beans, frost","Green beans, frost",,1.42,,,,,,,,,,
prepared,"Tortilla chips, cheese","Tortilla chips, cheese",,1.9,,,,,,,,,,
vegetables & mushrooms,Asparagus slices,Asparagus slices,,1.46,,,,,,,,,,
vegetables & mushrooms,Corn cob,Corn cob,,0.49,,,,,,,,,,
vegetables & mushrooms,"Rocket salad, rinsed","Rocket salad, rinsed",,0.48,,,,,,,,,,
spices & condiments,Olive tapenade,Olive tapenade,,3.12,,,,,,,,,,
starches & bread,Stuffed fresh pasta,Stuffed fresh pasta,,2.14,,,,,,,,,,
meat,Pepperoni,Pepperoni,,5.06,,,,,,,,,,
legumes,Kidney beans,Kidney beans,,1.05,,,,,,,,,,
meat,"Chicken, whole","Chicken, whole",,2.22,,,,,,,,,,
meat,"Chorizo, sliced","Chorizo, sliced",,6.07,,,,,,,,,,
prepared,Potato salad,Potato salad,,1.18,,,,,,,,,,
beverages,Cider 4.5%,Cider 4.5%,,1.1,,,,,,,,,,
prepared,"Falafel, frost","Falafel, frost",,1.72,,,,,,,,,,
prepared,"Potato hotchpotch, beef, ready meals","Potato hotchpotch, beef, ready meals",,13.21,,,,,,,,,,
prepared,"Potato hotchpotch, mixed meat, ready meals","Potato hotchpotch, mixed meat, ready meals",,9.42,,,,,,,,,,
prepared,Vegetable steaks,Vegetable steaks,,1.25,,,,,,,,,,
prepared,"Spring rolls, vegetables, ready meals","Spring rolls, vegetables, ready meals",,1.99,,,,,,,,,,
prepared,"Spring rolls, chicken, ready meals","Spring rolls, chicken, ready meals",,2.24,,,,,,,,,,
prepared,"Spring rolls, beef, ready meals","Spring rolls, beef, ready meals",,4.14,,,,,,,,,,
prepared,"Meatballs in curry with rice and curry sauce, ready meals","Meatballs in curry with rice and curry sauce, ready meals",,1.94,,,,,,,,,,
prepared,"Leek pie with bacon, ready meals","Leek pie with bacon, ready meals",,1.46,,,,,,,,,,
prepared,"Croque monsieur, ready meals","Croque monsieur, ready meals",,1.87,,,,,,,,,,
vegetables & mushrooms,Capers,Capers,,1.39,,,,,,,,,,
vegetables & mushrooms,Baby corn,Baby corn,,0.61,,,,,,,,,,
legumes,Black beans,Black beans,,1.05,,,,,,,,,,
fruits & berries,Half peaches in juice,Half peaches in juice,,1.7,,,,,,,,,,
vegetables & mushrooms,Marinated artichokes,Marinated artichokes,,3.38,,,,,,,,,,
vegetables & mushrooms,Cornichons,Cornichons,,1.58,,,,,,,,,,
vegetables & mushrooms,Garlic in oil,Garlic in oil,,2.79,,,,,,,,,,
fruits & berries,Half pears in juice,Half pears in juice,,1.04,,,,,,,,,,
vegetables & mushrooms,Marinated grilled peppers,Marinated grilled peppers,,2.89,,,,,,,,,,
spices & condiments,"Tahin, sesame paste","Tahin, sesame paste",,4.08,,,,,,,,,,
spices & condiments,Sundried tomatoes,Sundried tomatoes,,1.95,,,,,,,,,,
legumes,"Red lentils, dried","Red lentils, dried",,1.78,,,,,,,,,,
spices & condiments,"Ajvar, relish","Ajvar, relish",,2.49,,,,,,,,,,
spices & condiments,Vegan bean paste,Vegan bean paste,,1.72,,,,,,,,,,
spices & condiments,"Plant paste, pea protein and mushroom","Plant paste, pea protein and mushroom",,0.78,,,,,,,,,,
prepared,Chilli cheese tops,Chilli cheese tops,,1.87,,,,,,,,,,
diary & eggs,Mozarella sticks,Mozarella sticks,,2.92,,,,,,,,,,
prepared,"Chili con carne, ready meals","Chili con carne, ready meals",,21.07,,,,,,,,,,
meat,"Vegan balls, soy based","Vegan balls, soy based",,0.86,,,,,,,,,,
meat,"Vegan schnitzels, soy based","Vegan schnitzels, soy based",,1.78,,,,,,,,,,
meat,"Vegan burgers, soy based","Vegan burgers, soy based",,0.85,,,,,,,,,,
meat,"Vegan minced, pea based","Vegan minced, pea based",,0.61,,,,,,,,,,
meat,"Vegan sausages, soy based","Vegan sausages, soy based",,1.63,,,,,,,,,,
meat,"Vegan nuggets, soy based","Vegan nuggets, soy based",,2.05,,,,,,,,,,
meat,Vegan pulled beans,Vegan pulled beans,,2.21,,,,,,,,,,
meat,Pulled pork,Pulled pork,,3.68,,,,,,,,,,
meat,Pulled beef,Pulled beef,,38.22,,,,,,,,,,
meat,Vegan chorizo,Vegan chorizo,,1.84,,,,,,,,,,
starches & bread,Rice noodles,Rice noodles,,1.41,,,,,,,,,,
vegetables & mushrooms,Jalapenos,Jalapenos,,1.54,,,,,,,,,,
starches & bread,Taco shells,Taco shells,,1.81,,,,,,,,,,
spices & condiments,Mango chutney,Mango chutney,,2.9,,,,,,,,,,
spices & condiments,Green curry paste,Green curry paste,,1.97,,,,,,,,,,
starches & bread,"Noodles, eggs","Noodles, eggs",,1.15,,,,,,,,,,
starches & bread,Rice pancakes,Rice pancakes,,1.84,,,,,,,,,,
diary & eggs,"Vegan ice cream, oats","Vegan ice cream, oats",,1.53,,,,,,,,,,
spices & condiments,Vegan mayo,Vegan mayo,,3.07,,,,,,,,,,
meat,Mushroom burger,Mushroom burger,,1.47,,,,,,,,,,
meat,Vegan cold cuts,Vegan cold cuts,,2.34,,,,,,,,,,
diary & eggs,Vegan block,Vegan block,,0.97,,,,,,,,,,
diary & eggs,Magarine,Magarine,,2.93,,,,,,,,,,
meat,Vegan bacon,Vegan bacon,,0.25,,,,,,,,,,
meat,Vegan fillet pieces,Vegan fillet pieces,,2.04,,,,,,,,,,
prepared,Falafel mince,Falafel mince,,1.68,,,,,,,,,,
diary & eggs,Pea drink,Pea drink,,0.48,,,,,,,,,,
vegetables & mushrooms,Portobello mushroom,Portobello mushroom,,0.36,,,,,,,,,,
starches & bread,"Food grain, kamut","Food grain, kamut",,1.15,,,,,,,,,,
spices & condiments,Chili Sauce,Chili Sauce,,1.82,,,,,,,,,,
vegetables & mushrooms,Red onion,Red onion,,0.9,,,,,,,,,,
vegetables & mushrooms,"Basil, fresh","Basil, fresh",,0.3,,,,,,,,,,
spices & condiments,"Basil, dried","Basil, dried",,4.44,,,,,,,,,,
diary & eggs,Cold buttermilk soup,Cold buttermilk soup,,0.97,,,,,,,,,,
meat,"Beef, low fat","Beef, low fat",,35.86,,,,,,,,,,
meat,Grilled sausages,Grilled sausages,,1.81,,,,,,,,,,
meat,Minced lamb,Minced lamb,,26.3,,,,,,,,,,
starches & bread,Burger buns,Burger buns,,0.74,,,,,,,,,,
diary & eggs,Blue cheese,Blue cheese,,2.92,,,,,,,,,,
diary & eggs,Goat cheese,Goat cheese,,2.92,,,,,,,,,,
diary & eggs,"Vegan cheese, grated or sliced","Vegan cheese, grated or sliced",,1,,,,,,,,,,
prepared,"Samosa, vegetarian frost","Samosa, vegetarian frost",,1.17,,,,,,,,,,
prepared,"Nutella, nut cream","Nutella, nut cream",,3.97,,,,,,,,,,
beverages,"Smoothie, strawberry blueberry","Smoothie, strawberry blueberry",,2.16,,,,,,,,,,
beverages,Pineapple juice,Pineapple juice,,0.5695,,,,,,,,,,
beverages,Apple juice (no packaging),Apple juice (no packaging),,0.3495,,,,,,,,,,
beverages,Pear juice,Pear juice,,0.5047,,,,,,,,,,
diary & eggs,Buttermilk,Buttermilk,,1.1919,,,,,,,,,,
beverages,Champagne,Champagne,,1.4744,,,,,,,,,,
beverages,Cognac,Cognac,,2.9044,,,,,,,,,,
beverages,Fruit juice,Fruit juice,,0.4323,,,,,,,,,,
beverages,Grapefruit juice,Grapefruit juice,,0.4656,,,,,,,,,,
diary & eggs,Oat drink,Oat drink,,0.2456,,,,,,,,,,
beverages,Coffee (brewed),Coffee (brewed),,0.217,,,,,,,,,,
beverages,Mango Juice,Mango Juice,,1.1984,,,,,,,,,,
beverages,Sparkling water,Sparkling water,,0.399,,,,,,,,,,
beverages,Mineral water (non-carbonated),Mineral water (non-carbonated),,0.284,,,,,,,,,,
beverages,Orange juice,Orange juice,,1.5458,,,,,,,,,,
beverages,Peach juice,Peach juice,,1.5458,,,,,,,,,,
beverages,Beetroot juice,Beetroot juice,,0.597,,,,,,,,,,
diary & eggs,Rice drink,Rice drink,,0.6036,,,,,,,,,,
beverages,Spirituous beverages,Spirituous beverages,,4.1837,,,,,,,,,,
beverages,Grape juice,Grape juice,,1.2199,,,,,,,,,,
beverages,Water,Water,,0.0004,,,,,,,,,,
diary & eggs,Creme fraiche cheese,Creme fraiche cheese,,3.4247,,,,,,,,,,
diary & eggs,Emmentaler,Emmentaler,,9.5569,,,,,,,,,,
diary & eggs,Grana padano,Grana padano,,9.4169,,,,,,,,,,
diary & eggs,Gruyere,Gruyere,,9.2769,,,,,,,,,,
diary & eggs,Oats cream,Oats cream,,0.2456,,,,,,,,,,
diary & eggs,Natural yoghurt,Natural yoghurt,,3.7469,,,,,,,,,,
diary & eggs,Margarine,Margarine,,1.3468,,,,,,,,,,
diary & eggs,Mascarpone,Mascarpone,,6.1669,,,,,,,,,,
diary & eggs,Milk powder,Milk powder,,2.2001,,,,,,,,,,
diary & eggs,Whey powder,Whey powder,,2.5629,,,,,,,,,,
diary & eggs,Mozzarella (from cow's milk),Mozzarella (from cow's milk),,6.7469,,,,,,,,,,
diary & eggs,Paneer,Paneer,,8.6469,,,,,,,,,,
diary & eggs,Parmesan,Parmesan,,9.4169,,,,,,,,,,
diary & eggs,Curd,Curd,,2.9369,,,,,,,,,,
diary & eggs,Raclette,Raclette,,9.4169,,,,,,,,,,
diary & eggs,Ricotta,Ricotta,,0.6469,,,,,,,,,,
diary & eggs,Cream powder,Cream powder,,15.3495,,,,,,,,,,
diary & eggs,Sour milk,Sour milk,,2.7858,,,,,,,,,,
diary & eggs,Sour cream,Sour cream,,3.4247,,,,,,,,,,
fish & seafood,Eel,Eel,,3.8887,,,,,,,,,,
fish & seafood,Bluefish,Bluefish,,3.7337,,,,,,,,,,
fish & seafood,Claresse filet,Claresse filet,,8.0587,,,,,,,,,,
fish & seafood,Codfish,Codfish,,5.1387,,,,,,,,,,
fish & seafood,Perch fillet,Perch fillet,,1.6387,,,,,,,,,,
fish & seafood,Whitefish,Whitefish,,1.6387,,,,,,,,,,
fish & seafood,Flounder,Flounder,,3.8887,,,,,,,,,,
fish & seafood,Halibut,Halibut,,3.8887,,,,,,,,,,
fish & seafood,Cod,Cod,,5.1387,,,,,,,,,,
fish & seafood,Salmon trout,Salmon trout,,4.3387,,,,,,,,,,
fish & seafood,Shellfish,Shellfish,,3.3887,,,,,,,,,,
fish & seafood,Shark catfish,Shark catfish,,18.3987,,,,,,,,,,
fish & seafood,Anchovies,Anchovies,,3.8887,,,,,,,,,,
fish & seafood,Lutjanidae,Lutjanidae,,3.8887,,,,,,,,,,
fish & seafood,Hake,Hake,,3.8887,,,,,,,,,,
fish & seafood,Coalfish,Coalfish,,5.1387,,,,,,,,,,
fish & seafood,Tilapia,Tilapia,,4.1387,,,,,,,,,,
fruits & berries,Dates,Dates,,1.77,,,,,,,,,,
fruits & berries,Figs,Figs,,0.4961,,,,,,,,,,
fruits & berries,Raspberries,Raspberries,,0.4419,,,,,,,,,,
fruits & berries,Kiwi,Kiwi,,0.6362,,,,,,,,,,
fruits & berries,Passion fruit,Passion fruit,,0.7514,,,,,,,,,,
fruits & berries,Melon,Melon,,0.285,,,,,,,,,,
fruits & berries,Nectarine,Nectarine,,0.29,,,,,,,,,,
fruits & berries,Quince,Quince,,0.2713,,,,,,,,,,
fruits & berries,Starfruit,Starfruit,,0.6734,,,,,,,,,,
fruits & berries,Lemons,Lemons,,0.5606,,,,,,,,,,
legumes,Peas,Peas,,0.5537,,,,,,,,,,
legumes,Lentils,Lentils,,1.0098,,,,,,,,,,
legumes,Mung bean,Mung bean,,0.2753,,,,,,,,,,
legumes,Red lentils,Red lentils,,1.0098,,,,,,,,,,
meat,White beans,White beans,,1.0273,,,,,,,,,,
meat,Air-dried meat,Air-dried meat,,72.8717,,,,,,,,,,
meat,Duck,Duck,,3.9133,,,,,,,,,,
meat,Foal,Foal,,11.1705,,,,,,,,,,
meat,Smoked ham,Smoked ham,,11.4719,,,,,,,,,,
meat,Deer meat,Deer meat,,10.9537,,,,,,,,,,
meat,Veal,Veal,,28.2344,,,,,,,,,,
meat,Kangaroo meat,Kangaroo meat,,3.3813,,,,,,,,,,
meat,Rabbit meat,Rabbit meat,,6.6037,,,,,,,,,,
meat,Horse,Horse,,16.8505,,,,,,,,,,
meat,Quorn,Quorn,,2.73,,,,,,,,,,
meat,Prosciutto,Prosciutto,,11.4719,,,,,,,,,,
meat,Salami,Salami,,8.1219,,,,,,,,,,
diary & eggs,Lard,Lard,,6.0519,,,,,,,,,,
meat,Seitan,Seitan,,1.4337,,,,,,,,,,
meat,Ostrich,Ostrich,,10.6501,,,,,,,,,,
meat,Tempeh,Tempeh,,1.4837,,,,,,,,,,
meat,Wild boar,Wild boar,,6.9219,,,,,,,,,,
meat,Goat meat,Goat meat,,10.9389,,,,,,,,,,
nuts & seeds,Chia,Chia,,0.92,,,,,,,,,,
nuts & seeds,Safflower oil,Safflower oil,,2.2713,,,,,,,,,,
nuts & seeds,Peanut oil,Peanut oil,,4.6332,,,,,,,,,,
nuts & seeds,Hazelnut oil,Hazelnut oil,,4.6332,,,,,,,,,,
nuts & seeds,Cocoa butter,Cocoa butter,,1.1879,,,,,,,,,,
nuts & seeds,Cocoa paste,Cocoa paste,,0.7776,,,,,,,,,,
nuts & seeds,Coconut,Coconut,,1.8192,,,,,,,,,,
nuts & seeds,Coconut oil,Coconut oil,,2.7592,,,,,,,,,,
nuts & seeds,Desiccated coconut,Desiccated coconut,,1.6692,,,,,,,,,,
nuts & seeds,Pumpkin seeds,Pumpkin seeds,,1.691,,,,,,,,,,
nuts & seeds,Linseed,Linseed,,1.4157,,,,,,,,,,
nuts & seeds,Almonds,Almonds,,2.1233,,,,,,,,,,
nuts & seeds,Nuts,Nuts,,2.6779,,,,,,,,,,
nuts & seeds,Palm oil,Palm oil,,3.7514,,,,,,,,,,
nuts & seeds,Vegetable fat,Vegetable fat,,3.0137,,,,,,,,,,
nuts & seeds,Pine nuts,Pine nuts,,2.5179,,,,,,,,,,
nuts & seeds,Pistachios,Pistachios,,4.0647,,,,,,,,,,
nuts & seeds,Rapeseed oil,Rapeseed oil,,1.997,,,,,,,,,,
nuts & seeds,Sesame oil,Sesame oil,,3.0194,,,,,,,,,,
nuts & seeds,Soybean oil,Soybean oil,,7.879,,,,,,,,,,
nuts & seeds,Animal fat,Animal fat,,6.8386,,,,,,,,,,
nuts & seeds,Grapeseed oil,Grapeseed oil,,3.0194,,,,,,,,,,
nuts & seeds,Walnut oil,Walnut oil,,5.7862,,,,,,,,,,
spices & condiments,Maple syrup,Maple syrup,,1.1735,,,,,,,,,,
spices & condiments,Anise,Anise,,0.6395,,,,,,,,,,
spices & condiments,Apple cider vinegar,Apple cider vinegar,,2.94,,,,,,,,,,
spices & condiments,Apple pectin,Apple pectin,,3.2795,,,,,,,,,,
spices & condiments,Baking powder,Baking powder,,1.29,,,,,,,,,,
spices & condiments,Balsamic vinegar,Balsamic vinegar,,1.4744,,,,,,,,,,
spices & condiments,Savory,Savory,,0.3181,,,,,,,,,,
spices & condiments,Tabasco,Tabasco,,2.3996,,,,,,,,,,
spices & condiments,Curry,Curry,,0.6453,,,,,,,,,,
spices & condiments,Curry paste,Curry paste,,1.2892,,,,,,,,,,
spices & condiments,"Dill, dried","Dill, dried",,0.2581,,,,,,,,,,
spices & condiments,Fennel seeds,Fennel seeds,,1.0263,,,,,,,,,,
spices & condiments,Galangal,Galangal,,0.5436,,,,,,,,,,
spices & condiments,Shrimp paste,Shrimp paste,,8.8337,,,,,,,,,,
spices & condiments,Gelatin,Gelatin,,2.5737,,,,,,,,,,
