Kategorie,Name DE,Name EN,COâ‚‚ / 1.6FU (ohne Flug),kg CO2 / kg (ohne Flug),CO2 Base Value [g],Summe Transport fÃ¼r 1.6 FU,CO2 Land Transport [g],CO2 Sea Transport [g],CO2 Air Transport [g],Food Unit,Energy [kcal],kcal fÃ¼r 1.6FU,Gewicht fÃ¼r 1.6 FU,Name FR
meat,"Duck, flesh only, raw","Duck, flesh only, raw",,2.27,,,,,,,,,,
meat,"Goose, flesh only, raw","Goose, flesh only, raw",,2.27,,,,,,,,,,
spices & condiments,Mackerel mayonnaise salad,Mackerel mayonnaise salad,,4.18,,,,,,,,,,
spices & condiments,Sauce gravad lax,Sauce gravad lax,,2.03,,,,,,,,,,
spices & condiments,Italian mayonnaise salad,Italian mayonnaise salad,,3.55,,,,,,,,,,
spices & condiments,Curry mayonnaise salad,Curry mayonnaise salad,,3.55,,,,,,,,,,
diary & eggs,"Yogurt plain, whole milk","Yogurt plain, whole milk",,1.08,,,,,,,,,,
diary & eggs,"Cream, cultured, 18 % fat","Cream, cultured, 18 % fat",,2.02,,,,,,,,,,
diary & eggs,"Skyr, 0.2 % fat","Skyr, 0.2 % fat",,1.25,,,,,,,,,,
diary & eggs,"Cheese, firm, Danbo, 45 % fidm.","Cheese, firm, Danbo, 45 % fidm.",,7.72,,,,,,,,,,
diary & eggs,"Cheese, hard, Parmesan, 32 % fidm.","Cheese, hard, Parmesan, 32 % fidm.",,7.72,,,,,,,,,,
diary & eggs,"Cheese, semihard, Mozzarella, 30 % fidm.","Cheese, semihard, Mozzarella, 30 % fidm.",,7.72,,,,,,,,,,
fish & seafood,"Herring, pickled, canned","Herring, pickled, canned",,2.83,,,,,,,,,,
fish & seafood,"Fish balls, canned","Fish balls, canned",,5.74,,,,,,,,,,
fish & seafood,"Fish pudding, raw","Fish pudding, raw",,8,,,,,,,,,,
fish & seafood,"Cod, liver, canned","Cod, liver, canned",,16.72,,,,,,,,,,
fish & seafood,"Cod, roe, canned","Cod, roe, canned",,11.36,,,,,,,,,,
fish & seafood,"Shrimps, canned","Shrimps, canned",,11.89,,,,,,,,,,
fish & seafood,"Cod, fillet, breaded, raw","Cod, fillet, breaded, raw",,6.63,,,,,,,,,,
fish & seafood,"Caviar, Danish (roe, lump-sucker)","Caviar, Danish (roe, lump-sucker)",,11.33,,,,,,,,,,
fish & seafood,"Fish cake, fried","Fish cake, fried",,10.28,,,,,,,,,,
fish & seafood,"Cod, liver, smoked","Cod, liver, smoked",,12.54,,,,,,,,,,
fish & seafood,"Cod, liver, raw","Cod, liver, raw",,9.92,,,,,,,,,,
fish & seafood,"Lobster, canned","Lobster, canned",,9.85,,,,,,,,,,
fish & seafood,"Mussels, in water, canned","Mussels, in water, canned",,1.77,,,,,,,,,,
fish & seafood,"Tuna, in tomato sauce, canned","Tuna, in tomato sauce, canned",,9.15,,,,,,,,,,
fish & seafood,"Cod, roe, raw","Cod, roe, raw",,11.27,,,,,,,,,,
fish & seafood,"Crab claws, meat, raw","Crab claws, meat, raw",,14.68,,,,,,,,,,
fish & seafood,"Caviar, made from capelin roe","Caviar, made from capelin roe",,11.32,,,,,,,,,,
fish & seafood,"Tuna, in water, canned","Tuna, in water, canned",,5.6,,,,,,,,,,
fish & seafood,"Halibut, greenland, smoked","Halibut, greenland, smoked",,11.59,,,,,,,,,,
fish & seafood,"Fish fillet, breaded, deepfried","Fish fillet, breaded, deepfried",,7.51,,,,,,,,,,
fish & seafood,"Fish fingers, breaded, frozen","Fish fingers, breaded, frozen",,6.59,,,,,,,,,,
starches & bread,"Rye flour, dark, whole meal","Rye flour, dark, whole meal",,0.77,,,,,,,,,,
starches & bread,"Wheat, flour, wholemeal","Wheat, flour, wholemeal",,0.84,,,,,,,,,,
starches & bread,"Rye kernels, whole/cracked","Rye kernels, whole/cracked",,0.77,,,,,,,,,,
starches & bread,"Wheat, kernels, whole/cracked","Wheat, kernels, whole/cracked",,0.84,,,,,,,,,,
starches & bread,Rice flour,Rice flour,,1.14,,,,,,,,,,
starches & bread,Corn flour,Corn flour,,0.63,,,,,,,,,,
diary & eggs,"Eggs, chicken, free-range hens (indoor), raw","Eggs, chicken, free-range hens (indoor), raw",,0.85,,,,,,,,,,
fish & seafood,"Burbot, raw","Burbot, raw",,12.54,,,,,,,,,,
fish & seafood,"Perch, raw","Perch, raw",,13.84,,,,,,,,,,
fish & seafood,"Pikeperch, raw","Pikeperch, raw",,7.32,,,,,,,,,,
fish & seafood,"Pike, raw","Pike, raw",,8.28,,,,,,,,,,
fish & seafood,"Bream, raw","Bream, raw",,16.78,,,,,,,,,,
fish & seafood,"Charr, raw","Charr, raw",,12.31,,,,,,,,,,
fish & seafood,"Trout, raw","Trout, raw",,2.72,,,,,,,,,,
fish & seafood,"Whitefish, raw","Whitefish, raw",,12.54,,,,,,,,,,
beverages,"Fruit juice, mixed, sweetened, concentrated","Fruit juice, mixed, sweetened, concentrated",,2.58,,,,,,,,,,
beverages,"Elderberry, juice, concentrated, sugar added","Elderberry, juice, concentrated, sugar added",,2.4,,,,,,,,,,
vegetables & mushrooms,"Olives, green, pickled, canned","Olives, green, pickled, canned",,1.69,,,,,,,,,,
fruits & berries,"Pear, canned","Pear, canned",,0.83,,,,,,,,,,
nuts & seeds,"Nut paste with cacao, spreads","Nut paste with cacao, spreads",,3.97,,,,,,,,,,
beverages,"Orange juice, canned","Orange juice, canned",,1.32,,,,,,,,,,
fruits & berries,"Pineapple, canned","Pineapple, canned",,1.3,,,,,,,,,,
spices & condiments,Strawberry jam,Strawberry jam,,1.8,,,,,,,,,,
fruits & berries,"Raisins, seedless","Raisins, seedless",,2.63,,,,,,,,,,
spices & condiments,Raspberry Jam,Raspberry Jam,,1.8,,,,,,,,,,
meat,"Hare, raw","Hare, raw",,2.27,,,,,,,,,,
meat,"Rabbit, flesh only, raw","Rabbit, flesh only, raw",,2.27,,,,,,,,,,
meat,"Pheasant, flesh and skin, raw","Pheasant, flesh and skin, raw",,2.27,,,,,,,,,,
meat,"Squab (pigeon), raw","Squab (pigeon), raw",,2.27,,,,,,,,,,
starches & bread,"Barley groats, raw","Barley groats, raw",,0.83,,,,,,,,,,
starches & bread,"Oats, rolled, not enriched","Oats, rolled, not enriched",,0.95,,,,,,,,,,
starches & bread,"Rice groats, raw","Rice groats, raw",,1.11,,,,,,,,,,
vegetables & mushrooms,"Parsley, raw","Parsley, raw",,0.37,,,,,,,,,,
vegetables & mushrooms,"Dill, raw","Dill, raw",,0.37,,,,,,,,,,
vegetables & mushrooms,"Garlic, raw","Garlic, raw",,1.33,,,,,,,,,,
vegetables & mushrooms,"Chives, raw","Chives, raw",,0.32,,,,,,,,,,
vegetables & mushrooms,"Cress, garden, raw","Cress, garden, raw",,0.37,,,,,,,,,,
vegetables & mushrooms,"Olives, black, without stones, in brine","Olives, black, without stones, in brine",,1.69,,,,,,,,,,
nuts & seeds,"Hazelnut, dried","Hazelnut, dried",,4.35,,,,,,,,,,
nuts & seeds,Sunflower seeds,Sunflower seeds,,1.77,,,,,,,,,,
nuts & seeds,Sesame seeds,Sesame seeds,,3.62,,,,,,,,,,
nuts & seeds,"Walnuts, dried","Walnuts, dried",,3.15,,,,,,,,,,
nuts & seeds,"Cashew nuts, dry roasted","Cashew nuts, dry roasted",,4.01,,,,,,,,,,
nuts & seeds,"Pumpkin seeds, dried","Pumpkin seeds, dried",,3.2,,,,,,,,,,
spices & condiments,Honey,Honey,,0.77,,,,,,,,,,
diary & eggs,"Ice cream, dairy, (wholemilk based)","Ice cream, dairy, (wholemilk based)",,2.84,,,,,,,,,,
diary & eggs,"Ice cream, dairy (cream based)","Ice cream, dairy (cream based)",,2.84,,,,,,,,,,
diary & eggs,"Ice, popsickle, lemonade","Ice, popsickle, lemonade",,1.15,,,,,,,,,,
spices & condiments,Vinegar (Malt),Vinegar (Malt),,1.93,,,,,,,,,,
spices & condiments,"Salt, table","Salt, table",,0.44,,,,,,,,,,
fruits & berries,"Rhubarb, raw","Rhubarb, raw",,0.3,,,,,,,,,,
